freq=960.00Hz 
type, time, id, pos_x, pos_y, pos_z, rot_w, rot_x, rot_y, rot_z, cond
M, 106048958, 2, -316.303040, 816.930115, -223.885727, 1, 0, 0, 0, 4.00
M, 106048958, 3, -211.820801, 810.048340, -161.423523, 1, 0, 0, 0, 3.79
M, 106048958, 4, -268.228729, 816.423157, -175.019516, 1, 0, 0, 0, 4.00
M, 106048958, 5, -176.456177, 810.651794, -162.380005, 1, 0, 0, 0, 4.00
M, 106048958, 6, -152.797424, 811.585693, -163.475922, 1, 0, 0, 0, 4.00
M, 106048958, 7, -130.004852, 811.067749, -167.785065, 1, 0, 0, 0, 3.07
M, 106050000, 0, -313.128662, 818.589355, -181.390549, 1, 0, 0, 0, 3.57
M, 106050000, 1, -240.640686, 810.128967, -166.040497, 1, 0, 0, 0, 4.00
M, 106050000, 2, -316.302246, 816.930725, -223.885193, 1, 0, 0, 0, 4.00
M, 106050000, 3, -211.816772, 810.051697, -161.421982, 1, 0, 0, 0, 4.00
